row_idx,tick_idx,timestamp_ms,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,sus_pct_of_fast,render_pct_of_fast,ui_pct_of_fast,known_job_ms,known_job_pct_of_sus,unaccounted_sus_ms,unaccounted_sus_pct,season_refresh_ms,season_refresh_pct_of_sus,season_refresh_pct_of_known_jobs,natural_resource_daily_ms,natural_resource_daily_pct_of_sus,natural_resource_daily_pct_of_known_jobs,enum_atlas_upload_ms,enum_atlas_upload_pct_of_sus,enum_atlas_upload_pct_of_known_jobs,ocean_currents_ms,ocean_currents_pct_of_sus,ocean_currents_pct_of_known_jobs,native_daily_sim_ms,native_daily_sim_pct_of_sus,native_daily_sim_pct_of_known_jobs,dynamic_visual_atlas_upload_ms,dynamic_visual_atlas_upload_pct_of_sus,dynamic_visual_atlas_upload_pct_of_known_jobs,dominant_job,dominant_job_ms,dominant_job_pct_of_sus,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms
73,457,47775,46,13.000,12.535,0.011,0.458,96.4,0.1,3.5,10.877,86.8,1.658,13.2,0.078,0.6,0.7,1.616,12.9,14.9,0.000,0.0,0.0,0.000,0.0,0.0,9.183,73.3,84.4,0.000,0.0,0.0,native_daily_sim,9.183,73.3,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,9.171
74,458,47799,46,8.000,7.392,0.009,0.417,92.4,0.1,5.2,5.866,79.4,1.526,20.6,0.038,0.5,0.6,1.047,14.2,17.8,0.000,0.0,0.0,2.556,34.6,43.6,1.832,24.8,31.2,0.393,5.3,6.7,ocean_currents,2.556,34.6,ocean_currents,phys_slp,next_phys_wind,gdext,2.545
75,459,47827,46,12.000,11.438,0.017,0.799,95.3,0.1,6.7,9.613,84.0,1.825,16.0,0.086,0.8,0.9,1.229,10.7,12.8,0.000,0.0,0.0,2.769,24.2,28.8,5.529,48.3,57.5,0.000,0.0,0.0,native_daily_sim,5.529,48.3,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,5.512
76,460,47852,46,12.000,11.523,0.021,0.750,96.0,0.2,6.2,9.776,84.8,1.747,15.2,0.079,0.7,0.8,1.874,16.3,19.2,2.311,20.1,23.6,2.309,20.0,23.6,3.203,27.8,32.8,0.000,0.0,0.0,native_daily_sim,3.203,27.8,native_daily_sim,ocean_land,ocean_land_knobs,gdext_native_daily_slice,3.176
77,461,47874,46,6.000,5.407,0.008,0.414,90.1,0.1,6.9,3.737,69.1,1.670,30.9,0.058,1.1,1.6,1.243,23.0,33.3,0.000,0.0,0.0,0.000,0.0,0.0,2.071,38.3,55.4,0.365,6.8,9.8,native_daily_sim,2.071,38.3,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,2.061
78,462,47882,46,7.000,6.801,0.008,0.397,97.2,0.1,5.7,5.384,79.2,1.417,20.8,0.028,0.4,0.5,1.036,15.2,19.2,0.000,0.0,0.0,2.246,33.0,41.7,1.656,24.3,30.8,0.418,6.1,7.8,ocean_currents,2.246,33.0,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.236
79,463,47896,46,5.000,4.671,0.009,0.420,93.4,0.2,8.4,3.231,69.2,1.440,30.8,0.035,0.7,1.1,1.201,25.7,37.2,0.000,0.0,0.0,0.000,0.0,0.0,1.995,42.7,61.7,0.000,0.0,0.0,native_daily_sim,1.995,42.7,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.985
80,464,47911,46,5.000,4.778,0.006,0.396,95.6,0.1,7.9,3.401,71.2,1.377,28.8,0.028,0.6,0.8,0.924,19.3,27.2,0.000,0.0,0.0,0.556,11.6,16.3,1.478,30.9,43.5,0.415,8.7,12.2,native_daily_sim,1.478,30.9,native_daily_sim,transpiration,transpiration_knobs,gdext_native_daily_slice,1.469
81,465,47929,46,9.000,8.548,0.007,0.393,95.0,0.1,4.4,7.161,83.8,1.387,16.2,0.026,0.3,0.4,0.975,11.4,13.6,0.000,0.0,0.0,2.470,28.9,34.5,3.690,43.2,51.5,0.000,0.0,0.0,native_daily_sim,3.690,43.2,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.680
82,466,47969,46,12.000,11.689,0.681,0.383,97.4,5.7,3.2,9.751,83.4,1.938,16.6,0.092,0.8,0.9,1.928,16.5,19.8,0.000,0.0,0.0,3.522,30.1,36.1,4.209,36.0,43.2,0.000,0.0,0.0,native_daily_sim,4.209,36.0,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,4.198
83,467,47988,46,10.000,9.563,0.012,0.426,95.6,0.1,4.3,8.050,84.2,1.513,15.8,0.032,0.3,0.4,1.078,11.3,13.4,0.000,0.0,0.0,0.000,0.0,0.0,6.554,68.5,81.4,0.386,4.0,4.8,native_daily_sim,6.554,68.5,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,6.544
84,468,48007,46,9.000,7.926,0.007,0.384,88.1,0.1,4.3,6.581,83.0,1.345,17.0,0.032,0.4,0.5,1.156,14.6,17.6,0.652,8.2,9.9,2.561,32.3,38.9,1.811,22.8,27.5,0.369,4.7,5.6,ocean_currents,2.561,32.3,ocean_currents,phys_wind,next_phys_done,gdext,2.551
85,469,48022,46,6.000,6.079,0.007,0.388,101.3,0.1,6.5,4.661,76.7,1.418,23.3,0.033,0.5,0.7,1.102,18.1,23.6,0.000,0.0,0.0,0.000,0.0,0.0,3.526,58.0,75.6,0.000,0.0,0.0,native_daily_sim,3.526,58.0,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.517
86,470,48038,49,7.000,6.927,0.007,0.385,99.0,0.1,5.5,5.551,80.1,1.376,19.9,0.028,0.4,0.5,0.918,13.3,16.5,0.000,0.0,0.0,2.660,38.4,47.9,1.564,22.6,28.2,0.381,5.5,6.9,ocean_currents,2.660,38.4,ocean_currents,phys_slp,next_phys_wind,gdext,2.650
87,471,48069,49,8.000,7.070,0.007,0.396,88.4,0.1,5.0,5.664,80.1,1.406,19.9,0.032,0.5,0.6,1.242,17.6,21.9,0.000,0.0,0.0,2.687,38.0,47.4,1.703,24.1,30.1,0.000,0.0,0.0,ocean_currents,2.687,38.0,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.677
88,472,48084,49,7.000,5.829,0.005,0.361,83.3,0.1,5.2,4.458,76.5,1.371,23.5,0.028,0.5,0.6,1.033,17.7,23.2,0.000,0.0,0.0,1.418,24.3,31.8,1.595,27.4,35.8,0.384,6.6,8.6,native_daily_sim,1.595,27.4,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,1.586
89,473,48097,49,5.000,4.304,0.008,0.399,86.1,0.2,8.0,2.922,67.9,1.382,32.1,0.030,0.7,1.0,1.042,24.2,35.7,0.000,0.0,0.0,0.000,0.0,0.0,1.850,43.0,63.3,0.000,0.0,0.0,native_daily_sim,1.850,43.0,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.840
90,474,48113,49,7.000,6.491,0.006,0.376,92.7,0.1,5.4,5.141,79.2,1.350,20.8,0.028,0.4,0.5,1.050,16.2,20.4,0.000,0.0,0.0,2.274,35.0,44.2,1.396,21.5,27.2,0.393,6.1,7.6,ocean_currents,2.274,35.0,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.264
91,475,48141,49,6.000,5.925,0.006,0.381,98.8,0.1,6.3,4.552,76.8,1.373,23.2,0.032,0.5,0.7,1.064,18.0,23.4,0.000,0.0,0.0,0.000,0.0,0.0,3.456,58.3,75.9,0.000,0.0,0.0,native_daily_sim,3.456,58.3,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.447
92,476,48159,49,9.000,7.953,0.653,0.383,88.4,7.3,4.3,6.601,83.0,1.352,17.0,0.035,0.4,0.5,1.002,12.6,15.2,0.709,8.9,10.7,0.558,7.0,8.5,3.962,49.8,60.0,0.335,4.2,5.1,native_daily_sim,3.962,49.8,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,3.952
93,477,48179,49,11.000,11.267,0.007,0.411,102.4,0.1,3.7,9.917,88.0,1.350,12.0,0.039,0.3,0.4,1.105,9.8,11.1,0.000,0.0,0.0,2.392,21.2,24.1,6.381,56.6,64.3,0.000,0.0,0.0,native_daily_sim,6.381,56.6,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,6.372
94,478,48211,49,10.000,9.532,0.007,0.389,95.3,0.1,3.9,6.845,71.8,2.687,28.2,0.053,0.6,0.8,1.123,11.8,16.4,0.000,0.0,0.0,2.961,31.1,43.3,2.334,24.5,34.1,0.374,3.9,5.5,ocean_currents,2.961,31.1,ocean_currents,phys_slp,next_phys_wind,gdext,2.946
95,479,48227,49,7.000,6.174,0.008,0.424,88.2,0.1,6.1,4.679,75.8,1.495,24.2,0.032,0.5,0.7,1.063,17.2,22.7,0.000,0.0,0.0,0.000,0.0,0.0,3.584,58.0,76.6,0.000,0.0,0.0,native_daily_sim,3.584,58.0,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.574
96,480,48243,49,7.000,6.966,0.006,0.410,99.5,0.1,5.9,5.444,78.2,1.522,21.8,0.033,0.5,0.6,0.965,13.9,17.7,0.000,0.0,0.0,2.566,36.8,47.1,1.514,21.7,27.8,0.366,5.3,6.7,ocean_currents,2.566,36.8,ocean_currents,phys_wind,next_phys_done,gdext,2.550
97,481,48257,49,5.000,4.428,0.007,0.379,88.6,0.1,7.6,3.017,68.1,1.411,31.9,0.031,0.7,1.0,1.143,25.8,37.9,0.000,0.0,0.0,0.000,0.0,0.0,1.843,41.6,61.1,0.000,0.0,0.0,native_daily_sim,1.843,41.6,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,1.835
98,482,48285,49,8.000,7.467,0.008,0.409,93.3,0.1,5.1,5.939,79.5,1.528,20.5,0.033,0.4,0.6,1.240,16.6,20.9,0.000,0.0,0.0,2.598,34.8,43.7,1.686,22.6,28.4,0.382,5.1,6.4,ocean_currents,2.598,34.8,ocean_currents,phys_slp,next_phys_wind,gdext,2.586
99,483,48303,49,8.000,7.085,0.008,0.405,88.6,0.1,5.1,5.672,80.1,1.413,19.9,0.031,0.4,0.5,1.142,16.1,20.1,0.000,0.0,0.0,2.702,38.1,47.6,1.797,25.4,31.7,0.000,0.0,0.0,ocean_currents,2.702,38.1,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.691
100,484,48320,49,8.000,6.805,0.007,0.404,85.1,0.1,5.1,5.007,73.6,1.798,26.4,0.031,0.5,0.6,1.125,16.5,22.5,0.638,9.4,12.7,1.458,21.4,29.1,1.386,20.4,27.7,0.369,5.4,7.4,ocean_currents,1.458,21.4,ocean_currents,phys_wind,next_phys_done,gdext,1.447
101,485,48335,49,6.000,5.963,0.006,0.391,99.4,0.1,6.5,4.602,77.2,1.361,22.8,0.031,0.5,0.7,1.128,18.9,24.5,0.000,0.0,0.0,0.000,0.0,0.0,3.443,57.7,74.8,0.000,0.0,0.0,native_daily_sim,3.443,57.7,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.435
102,486,48368,49,11.000,9.771,0.709,0.390,88.8,6.4,3.5,8.227,84.2,1.544,15.8,0.039,0.4,0.5,1.215,12.4,14.8,0.000,0.0,0.0,2.251,23.0,27.4,4.381,44.8,53.3,0.341,3.5,4.1,native_daily_sim,4.381,44.8,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,4.370
103,487,48388,49,10.000,9.149,0.007,0.398,91.5,0.1,4.0,7.710,84.3,1.439,15.7,0.035,0.4,0.5,1.144,12.5,14.8,0.000,0.0,0.0,0.000,0.0,0.0,6.531,71.4,84.7,0.000,0.0,0.0,native_daily_sim,6.531,71.4,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,6.522
104,488,48403,49,5.000,5.064,0.008,0.408,101.3,0.2,8.2,3.692,72.9,1.372,27.1,0.034,0.7,0.9,1.083,21.4,29.3,0.000,0.0,0.0,0.656,13.0,17.8,1.551,30.6,42.0,0.368,7.3,10.0,native_daily_sim,1.551,30.6,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,1.543
105,489,48421,49,9.000,8.144,0.006,0.380,90.5,0.1,4.2,6.763,83.0,1.381,17.0,0.032,0.4,0.5,1.093,13.4,16.2,0.000,0.0,0.0,2.439,29.9,36.1,3.199,39.3,47.3,0.000,0.0,0.0,native_daily_sim,3.199,39.3,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.190
106,490,48456,49,11.000,9.973,0.011,0.466,90.7,0.1,4.2,8.230,82.5,1.743,17.5,0.089,0.9,1.1,1.606,16.1,19.5,0.000,0.0,0.0,3.642,36.5,44.3,2.508,25.1,30.5,0.385,3.9,4.7,ocean_currents,3.642,36.5,ocean_currents,phys_slp,next_phys_wind,gdext,3.628
107,491,48476,49,6.000,5.747,0.011,0.496,95.8,0.2,8.3,4.261,74.1,1.486,25.9,0.042,0.7,1.0,1.187,20.7,27.9,0.000,0.0,0.0,0.000,0.0,0.0,3.032,52.8,71.2,0.000,0.0,0.0,native_daily_sim,3.032,52.8,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,3.020
108,492,48502,49,12.000,11.522,0.023,0.755,96.0,0.2,6.3,9.881,85.8,1.641,14.2,0.036,0.3,0.4,1.040,9.0,10.5,1.215,10.5,12.3,3.784,32.8,38.3,3.806,33.0,38.5,0.000,0.0,0.0,native_daily_sim,3.806,33.0,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,3.788
109,493,48525,49,6.000,5.267,0.008,0.464,87.8,0.1,7.7,3.700,70.2,1.567,29.8,0.043,0.8,1.2,1.268,24.1,34.3,0.000,0.0,0.0,0.000,0.0,0.0,1.982,37.6,53.6,0.407,7.7,11.0,native_daily_sim,1.982,37.6,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.972
110,494,48539,49,13.000,12.463,0.010,0.503,95.9,0.1,3.9,10.093,81.0,2.370,19.0,0.050,0.4,0.5,1.634,13.1,16.2,0.000,0.0,0.0,3.682,29.5,36.5,4.727,37.9,46.8,0.000,0.0,0.0,native_daily_sim,4.727,37.9,native_daily_sim,transpiration,transpiration_knobs,gdext_native_daily_slice,4.711
111,495,48569,49,13.000,12.513,0.023,0.829,96.3,0.2,6.4,10.843,86.7,1.670,13.3,0.041,0.3,0.4,1.223,9.8,11.3,0.000,0.0,0.0,2.699,21.6,24.9,6.880,55.0,63.5,0.000,0.0,0.0,native_daily_sim,6.880,55.0,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,6.851
112,496,48594,49,9.000,8.239,0.014,0.521,91.5,0.2,5.8,6.411,77.8,1.828,22.2,0.071,0.9,1.1,1.919,23.3,29.9,0.000,0.0,0.0,1.889,22.9,29.5,2.106,25.6,32.8,0.426,5.2,6.6,native_daily_sim,2.106,25.6,native_daily_sim,runtime_hydrology,runtime_hydrology_knobs,gdext_native_daily_slice,2.096
113,497,48622,49,13.000,10.209,1.426,0.840,78.5,11.0,6.5,8.529,83.5,1.680,16.5,0.051,0.5,0.6,1.270,12.4,14.9,0.000,0.0,0.0,0.000,0.0,0.0,7.208,70.6,84.5,0.000,0.0,0.0,native_daily_sim,7.208,70.6,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,7.178
114,498,48648,49,9.000,7.237,1.048,0.731,80.4,11.6,8.1,5.441,75.2,1.796,24.8,0.041,0.6,0.8,1.099,15.2,20.2,0.000,0.0,0.0,3.641,50.3,66.9,0.000,0.0,0.0,0.660,9.1,12.1,ocean_currents,3.641,50.3,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,3.613
115,499,48686,49,14.000,13.184,0.012,0.597,94.2,0.1,4.3,11.686,88.6,1.498,11.4,0.036,0.3,0.3,1.110,8.4,9.5,0.000,0.0,0.0,0.000,0.0,0.0,10.540,79.9,90.2,0.000,0.0,0.0,native_daily_sim,10.540,79.9,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,10.520
116,500,48710,49,6.000,6.360,0.010,0.432,106.0,0.2,7.2,4.798,75.4,1.562,24.6,0.038,0.6,0.8,1.009,15.9,21.0,0.742,11.7,15.5,0.623,9.8,13.0,1.956,30.8,40.8,0.430,6.8,9.0,native_daily_sim,1.956,30.8,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,1.945
117,501,48736,49,11.000,10.892,0.012,0.833,99.0,0.1,7.6,9.360,85.9,1.532,14.1,0.049,0.4,0.5,1.064,9.8,11.4,0.000,0.0,0.0,3.178,29.2,34.0,5.069,46.5,54.2,0.000,0.0,0.0,native_daily_sim,5.069,46.5,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,5.053
118,502,48757,49,8.000,7.378,0.009,0.476,92.2,0.1,5.9,5.752,78.0,1.626,22.0,0.044,0.6,0.8,1.121,15.2,19.5,0.000,0.0,0.0,2.510,34.0,43.6,1.702,23.1,29.6,0.375,5.1,6.5,ocean_currents,2.510,34.0,ocean_currents,phys_slp,next_phys_wind,gdext,2.500
119,503,48783,49,8.000,7.112,0.014,0.514,88.9,0.2,6.4,5.267,74.1,1.845,25.9,0.084,1.2,1.6,1.672,23.5,31.7,0.000,0.0,0.0,0.000,0.0,0.0,3.511,49.4,66.7,0.000,0.0,0.0,native_daily_sim,3.511,49.4,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,3.497
120,504,48804,49,8.000,8.007,0.012,0.533,100.1,0.1,6.7,6.433,80.3,1.574,19.7,0.042,0.5,0.7,1.136,14.2,17.7,0.000,0.0,0.0,2.750,34.3,42.7,1.987,24.8,30.9,0.518,6.5,8.1,ocean_currents,2.750,34.3,ocean_currents,phys_wind,next_phys_done,gdext,2.739
121,505,48828,49,8.000,7.111,0.016,0.655,88.9,0.2,8.2,5.389,75.8,1.722,24.2,0.039,0.5,0.7,1.378,19.4,25.6,0.000,0.0,0.0,0.000,0.0,0.0,3.972,55.9,73.7,0.000,0.0,0.0,native_daily_sim,3.972,55.9,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,3.955
122,506,48851,49,10.000,8.911,0.011,0.543,89.1,0.1,5.4,6.960,78.1,1.951,21.9,0.056,0.6,0.8,1.526,17.1,21.9,0.000,0.0,0.0,3.100,34.8,44.5,1.824,20.5,26.2,0.454,5.1,6.5,ocean_currents,3.100,34.8,ocean_currents,phys_slp,next_phys_wind,gdext,3.087
123,507,48876,49,12.000,11.422,0.016,1.166,95.2,0.1,9.7,9.870,86.4,1.552,13.6,0.040,0.4,0.4,1.055,9.2,10.7,0.000,0.0,0.0,2.938,25.7,29.8,5.837,51.1,59.1,0.000,0.0,0.0,native_daily_sim,5.837,51.1,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,5.823
124,508,48909,49,16.000,12.791,1.303,1.786,79.9,8.1,11.2,10.979,85.8,1.812,14.2,0.060,0.5,0.5,2.099,16.4,19.1,1.462,11.4,13.3,1.467,11.5,13.4,5.891,46.1,53.7,0.000,0.0,0.0,native_daily_sim,5.891,46.1,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,5.862
125,509,48939,49,14.000,12.600,0.028,1.511,90.0,0.2,10.8,10.678,84.7,1.922,15.3,0.089,0.7,0.8,1.623,12.9,15.2,0.000,0.0,0.0,0.000,0.0,0.0,8.468,67.2,79.3,0.498,4.0,4.7,native_daily_sim,8.468,67.2,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,8.456
126,510,48967,49,13.000,11.637,0.025,0.865,89.5,0.2,6.7,8.930,76.7,2.707,23.3,0.092,0.8,1.0,1.464,12.6,16.4,0.000,0.0,0.0,3.705,31.8,41.5,3.669,31.5,41.1,0.000,0.0,0.0,ocean_currents,3.705,31.8,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,3.687
127,511,48989,49,7.000,6.401,0.010,0.501,91.4,0.1,7.2,4.922,76.9,1.479,23.1,0.037,0.6,0.8,1.172,18.3,23.8,0.000,0.0,0.0,0.000,0.0,0.0,3.300,51.6,67.0,0.413,6.5,8.4,native_daily_sim,3.300,51.6,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.292
128,512,49013,49,10.000,10.115,0.015,0.709,101.2,0.1,7.1,7.946,78.6,2.169,21.4,0.081,0.8,1.0,2.070,20.5,26.1,0.000,0.0,0.0,1.523,15.1,19.2,3.618,35.8,45.5,0.654,6.5,8.2,native_daily_sim,3.618,35.8,native_daily_sim,ocean_land,ocean_land_knobs,gdext_native_daily_slice,3.598
129,513,49039,48,10.000,10.129,0.010,0.501,101.3,0.1,5.0,8.559,84.5,1.570,15.5,0.042,0.4,0.5,1.180,11.6,13.8,0.000,0.0,0.0,4.197,41.4,49.0,3.140,31.0,36.7,0.000,0.0,0.0,ocean_currents,4.197,41.4,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,4.184
130,514,49065,48,11.000,10.420,0.010,0.599,94.7,0.1,5.4,8.849,84.9,1.571,15.1,0.077,0.7,0.9,1.831,17.6,20.7,0.000,0.0,0.0,4.124,39.6,46.6,2.817,27.0,31.8,0.000,0.0,0.0,ocean_currents,4.124,39.6,ocean_currents,phys_slp,next_phys_wind,gdext,4.111
131,515,49089,48,9.000,8.295,0.011,0.478,92.2,0.1,5.3,6.527,78.7,1.768,21.3,0.077,0.9,1.2,2.104,25.4,32.2,0.000,0.0,0.0,0.000,0.0,0.0,3.826,46.1,58.6,0.520,6.3,8.0,native_daily_sim,3.826,46.1,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,3.809
132,516,49117,48,13.000,12.556,0.009,0.448,96.6,0.1,3.4,10.472,83.4,2.084,16.6,0.036,0.3,0.3,1.048,8.3,10.0,1.762,14.0,16.8,4.417,35.2,42.2,3.209,25.6,30.6,0.000,0.0,0.0,ocean_currents,4.417,35.2,ocean_currents,phys_wind,next_phys_done,gdext,4.401
133,517,49141,48,10.000,9.463,0.016,0.532,94.6,0.2,5.3,7.895,83.4,1.568,16.6,0.044,0.5,0.6,1.244,13.1,15.8,0.000,0.0,0.0,0.000,0.0,0.0,6.115,64.6,77.5,0.492,5.2,6.2,native_daily_sim,6.115,64.6,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,6.103
134,518,49166,48,12.000,10.256,0.777,0.512,85.5,6.5,4.3,8.683,84.7,1.573,15.3,0.041,0.4,0.5,1.141,11.1,13.1,0.000,0.0,0.0,3.064,29.9,35.3,4.437,43.3,51.1,0.000,0.0,0.0,native_daily_sim,4.437,43.3,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,4.425
135,519,49195,48,14.000,14.351,0.012,0.463,102.5,0.1,3.3,12.776,89.0,1.575,11.0,0.039,0.3,0.3,1.944,13.5,15.2,0.000,0.0,0.0,2.977,20.7,23.3,7.816,54.5,61.2,0.000,0.0,0.0,native_daily_sim,7.816,54.5,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,7.803
136,520,49221,48,11.000,10.447,0.010,0.630,95.0,0.1,5.7,8.712,83.4,1.735,16.6,0.083,0.8,1.0,2.017,19.3,23.2,0.000,0.0,0.0,2.595,24.8,29.8,3.575,34.2,41.0,0.442,4.2,5.1,native_daily_sim,3.575,34.2,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,3.556
137,521,49243,48,9.000,8.449,0.015,0.776,93.9,0.2,8.6,6.788,80.3,1.661,19.7,0.044,0.5,0.6,1.147,13.6,16.9,0.000,0.0,0.0,0.000,0.0,0.0,5.597,66.2,82.5,0.000,0.0,0.0,native_daily_sim,5.597,66.2,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,5.580
138,522,49269,48,12.000,10.557,0.026,1.080,88.0,0.2,9.0,8.460,80.1,2.097,19.9,0.072,0.7,0.9,1.761,16.7,20.8,0.000,0.0,0.0,2.949,27.9,34.9,2.680,25.4,31.7,0.998,9.5,11.8,ocean_currents,2.949,27.9,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.936
139,523,49293,48,9.000,8.390,0.011,0.458,93.2,0.1,5.1,5.743,68.5,2.647,31.5,0.091,1.1,1.6,1.638,19.5,28.5,0.000,0.0,0.0,0.000,0.0,0.0,4.014,47.8,69.9,0.000,0.0,0.0,native_daily_sim,4.014,47.8,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,3.996
140,524,49318,48,11.000,9.727,0.021,0.895,88.4,0.2,8.1,7.997,82.2,1.730,17.8,0.042,0.4,0.5,1.083,11.1,13.5,2.581,26.5,32.3,1.560,16.0,19.5,2.731,28.1,34.2,0.000,0.0,0.0,native_daily_sim,2.731,28.1,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,2.722
141,525,49348,48,12.000,11.841,0.020,0.812,98.7,0.2,6.8,10.097,85.3,1.744,14.7,0.059,0.5,0.6,1.163,9.8,11.5,0.000,0.0,0.0,3.817,32.2,37.8,5.058,42.7,50.1,0.000,0.0,0.0,native_daily_sim,5.058,42.7,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,5.039
142,526,49376,48,12.000,10.489,0.024,1.294,87.4,0.2,10.8,8.179,78.0,2.310,22.0,0.040,0.4,0.5,1.247,11.9,15.2,0.000,0.0,0.0,3.386,32.3,41.4,2.315,22.1,28.3,1.191,11.4,14.6,ocean_currents,3.386,32.3,ocean_currents,phys_slp,next_phys_wind,gdext,3.370
